,11_bin.53,21_bin.10,21_bin.47,22_bin.14,22_bin.5,23_bin.50,24_bin.42,24_bin.63,24_bin.64,25_bin.7,26_bin.35,26_bin.9,27_bin.15,28_bin.46,28_bin.47,29_bin.10,29_bin.22,29_bin.35,29_bin.53,31_bin.18,31_bin.4,32_bin.53,34_bin.2,34_bin.28,34_bin.29,34_bin.7,36_bin.22,36_bin.32,36_bin.39,37_bin.57,38_bin.9,39_bin.35,39_bin.46,40_bin.5,41_bin.32,41_bin.35,41_bin.37,41_bin.38,41_bin.76,42_bin.21,42_bin.6,43_bin.28,43_bin.34,43_bin.39,43_bin.59,44_bin.27,44_bin.41,44_bin.50,45_bin.16,46_bin.21,46_bin.56,46_bin.59,46_bin.73,47_bin.13,47_bin.30,47_bin.61,47_bin.64,48_bin.50,48_bin.65,49_bin.10,49_bin.68,49_bin.94,50_bin.1
M00529,50,75,50,75,50,75,50,75,75,25,25,75,75,75,75,25,50,75,50,75,75,75,75,0,75,25,75,25,75,75,75,75,75,0,75,75,25,25,50,75,75,25,75,50,75,25,75,75,0,75,25,25,50,50,75,75,25,75,75,75,25,25,0
M00530,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,50,50,0,0,0,50,0,0,0,50,0,0,0,0,0,50,0,0,0,0,50,0,0,0,50,0,0
M00532,20,30,30,30,10,30,20,30,30,10,30,30,30,30,30,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,20,30,30,30,10,20,30,30,30,30,20,30,30,20,30,20,30,30,30,20,10,30,30,30,30,30,30,30,30,10
M00533,25,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,25,0,0,25,0,0,0,25,0,0,0,0,0,25,0,0,25,0,0,0,0,25,0,25,0,0,0,25,0,0,0,25,0,0,0,0,25,0,0,25,0,0,0,0
M00535,33.33,33.33,0,0,33.33,0,0,0,33.33,66.67,66.67,0,0,33.33,0,66.67,0,0,33.33,33.33,0,0,33.33,66.67,0,66.67,33.33,66.67,0,0,0,0,33.33,66.67,0,33.33,66.67,33.33,66.67,0,33.33,66.67,33.33,66.67,0,66.67,33.33,0,66.67,0,66.67,66.67,0,0,0,33.33,66.67,0,33.33,0,66.67,66.67,66.67
M00537,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00538,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00546,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,20,100,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,20,0,0,0,20,0,0
M00549,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33
M00550,0,0,20,20,0,20,0,20,0,0,0,20,20,0,20,0,20,20,0,0,20,20,0,0,20,0,0,0,20,20,20,20,0,0,20,0,0,0,20,20,0,0,0,20,20,0,0,20,0,20,20,0,0,0,20,0,0,20,0,20,0,20,20
M00552,40,40,40,40,40,40,20,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,60,40,40,40,40,80,40,40,40,40,40,40,80,40,40,40,40,40,40,40,40,40,40,80,40
M00554,0,0,0,50,0,0,0,0,0,50,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,100,0,50,0,0,0,0,0,50,0,0,100,0,50,0,0,100,0,100,0,100,0,0,50,0,100,100,0,0,0,0,100,0,0,0,100,100,50
M00565,33.33,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,50,83.33,66.67,66.67,66.67,66.67,83.33,66.67,66.67,66.67,66.67,66.67,66.67,66.67,83.33,66.67,83.33,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,83.33,83.33,83.33,66.67,66.67,66.67,66.67,83.33,66.67,83.33,66.67,66.67,50,66.67,66.67,83.33,66.67,50,50,66.67,83.33,66.67,66.67,66.67,83.33,50,50
M00567,0,0,25,25,0,25,0,25,0,0,0,25,25,0,12.5,0,0,25,0,0,25,25,0,0,25,0,0,0,25,25,25,25,0,0,25,0,0,0,0,12.5,0,0,0,0,25,0,0,25,0,25,0,0,0,0,25,0,0,25,0,25,0,0,0
M00568,0,0,100,100,0,100,0,100,0,0,0,100,100,0,100,0,0,100,0,0,100,100,0,0,100,0,0,0,100,100,100,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,100,0,0,0,0,100,0,0,100,0,100,0,0,0
M00569,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20
M00570,20,20,40,40,20,40,40,40,20,80,80,40,40,20,40,80,40,40,20,20,40,40,20,100,40,80,20,100,40,40,40,40,20,80,40,20,40,20,100,40,20,100,20,80,40,80,20,40,80,40,100,80,40,40,20,20,100,40,20,40,80,80,80
M00572,33.33,50,66.67,66.67,66.67,66.67,66.67,66.67,50,33.33,50,66.67,66.67,50,66.67,50,66.67,66.67,50,50,66.67,66.67,50,33.33,66.67,50,33.33,50,66.67,66.67,66.67,66.67,50,33.33,66.67,50,50,50,33.33,66.67,50,50,50,50,66.67,50,50,66.67,33.33,66.67,50,50,66.67,66.67,66.67,50,50,66.67,50,66.67,50,50,33.33
M00573,20,20,0,0,20,0,0,0,20,20,20,0,0,20,0,20,0,0,20,20,0,0,20,0,0,20,20,20,0,0,0,0,20,20,0,20,20,20,20,0,20,20,20,20,0,20,20,0,20,0,20,20,0,0,0,20,20,0,20,0,20,20,20
M00577,20,20,0,0,20,0,0,0,20,20,20,0,0,20,0,20,0,0,20,20,0,0,20,0,0,20,20,20,0,0,0,0,20,20,0,20,20,20,20,0,20,20,20,20,0,20,20,0,20,0,20,20,0,0,0,20,20,0,20,0,20,20,20
M00579,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,0
M00580,50,50,50,50,50,50,0,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,0,0,50,50,50,50,50,50,50,50,0
M00600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
M00609,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67
